period,date,n1,n2,n3,n4,n5,n6,special
114000100,2025/10/28,5,8,11,12,18,39,37
114000101,2025/10/31,3,4,7,10,18,21,15
114000102,2025/11/4,16,25,27,35,47,48,14
114000103,2025/11/7,4,11,22,32,33,41,43
114000104,2025/11/11,11,16,24,42,44,47,32
114000105,2025/11/14,21,25,26,38,41,46,4
114000106,2025/11/18,8,9,10,23,24,43,45
114000107,2025/11/21,14,20,21,28,31,46,37
114000108,2025/11/25,2,10,12,20,23,24,28
114000109,2025/11/28,8,12,18,28,37,46,34
114000110,2025/12/2,14,20,32,35,42,48,28
114000111,2025/12/5,8,15,23,24,41,47,2
114000112,2025/12/9,5,10,18,26,28,44,48
114000113,2025/12/12,15,17,24,26,40,47,33
114000114,2025/12/16,6,7,15,19,24,33,46
114000115,2025/12/19,6,8,11,12,18,46,37
114000116,2025/12/23,1,3,12,33,39,41,29
114000117,2025/12/26,5,7,9,14,17,30,47
114000118,2025/12/30,5,10,15,20,24,29,34
115000001,2026/1/2,3,7,16,19,40,42,12
115000002,2026/1/6,2,23,33,38,39,45,6
115000003,2026/1/9,1,7,13,14,34,45,8
115000004,2026/1/13,2,10,18,19,39,49,24
115000005,2026/1/16,9,10,21,22,25,36,20
115000006,2026/1/20,2,7,26,41,44,45,46
115000007,2026/1/23,21,23,32,36,39,43,12
115000008,2026/1/27,4,11,24,25,29,30,8
115000009,2026/1/30,9,13,27,31,32,39,19
115000010,2026/2/3,6,14,32,33,39,43,13
115000011,2026/2/6,4,12,24,25,39,48,9
115000012,2026/2/10,6,16,20,21,24,35,13
115000013,2026/2/12,1,3,8,15,20,48,46
115000014,2026/2/13,9,20,25,35,39,48,47
115000015,2026/2/14,1,11,22,35,36,40,28
115000016,2026/2/15,3,6,11,18,25,28,35
115000017,2026/2/16,11,16,18,27,38,46,43
115000018,2026/2/17,6,12,24,26,37,46,36
115000019,2026/2/18,16,35,36,37,39,49,45
115000020,2026/2/19,20,28,29,31,35,41,6
115000021,2026/2/20,13,15,18,24,33,49,10
115000022,2026/2/21,12,13,17,27,41,48,46
115000023,2026/2/22,5,7,17,22,24,47,20
115000024,2026/2/23,6,10,23,27,47,48,30
115000025,2026/2/24,12,19,22,27,28,31,45
115000026,2026/2/25,7,15,22,38,45,49,31
115000027,2026/2/26,1,16,22,24,47,48,7
115000028,2026/2/27,14,18,19,34,45,47,48
115000029,2026/2/28,17,23,30,37,39,49,43
115000030,2026/3/1,4,7,34,40,44,49,37
115000031,2026/3/2,19,25,27,28,33,39,37
115000032,2026/3/3,5,26,27,35,45,46,37
115000033,2026/3/6,9,11,12,14,23,25,42
115000034,2026/3/10,5,11,29,37,43,47,10
115000035,2026/3/13,5,12,13,38,47,48,3
115000036,2026/3/17,2,6,10,22,40,45,17
115000037,2026/3/20,11,15,33,38,41,43,21
115000038,2026/3/24,14,33,41,42,44,48,47
115000039,2026/3/27,4,8,23,26,29,36,38
115000040,2026/3/31,5,11,25,40,45,47,39
115000041,2026/4/3,5,12,13,25,36,48,8
115000042,2026/4/7,1,2,6,16,18,26,47
115000043,2026/4/10,4,10,15,17,21,40,30
115000044,2026/4/14,4,8,21,23,24,43,13
115000045,2026/4/17,7,10,11,22,40,45,18
115000046,2026/4/21,1,6,17,19,20,40,22
115000047,2026/4/24,7,14,16,37,39,47,34
115000048,2026/4/28,6,10,14,25,26,32,7
115000049,2026/5/1,7,22,27,35,43,48,45
115000050,2026/5/5,4,17,23,28,33,37,15
115000051,2026/5/8,10,18,25,28,39,43,48
115000052,2026/5/12,6,12,18,19,32,36,34
115000053,2026/5/15,16,29,30,35,42,43,1
115000054,2026/5/19,4,20,22,26,38,47,27
115000055,2026/5/22,12,13,16,21,28,48,30
115000056,2026/5/26,3,27,29,37,47,48,11
115000057,2026/5/29,20,26,29,31,37,49,30
115000058,2026/5/30,8,9,16,20,37,49,2
115000059,2026/6/5,12,14,25,30,32,44,34
115000060,2026/6/9,13,18,25,39,40,46,31
115000061,2026/6/12,1,6,16,20,34,49,3
115000062,2026/6/16,1,2,9,11,28,36,41
115000063,2026/6/19,4,12,28,29,35,48,38
115000064,2026/6/23,12,18,29,33,34,39,30
115000065,2026/6/26,11,19,23,24,29,41,1
115000066,2026/06/30,04,10,16,29,36,45,14
115000067,2026/07/03,11,16,19,23,39,47,15
115000068,2026/07/07,08,13,15,18,19,42,37
115000069,2026/07/10,03,04,15,18,29,49,13
